ID,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3,ROUTE_MILEPOST
EC38196,0,17,75,12,2022,4,3,700,0,0,0,2,78,6.0,2,0,6,1,2,7,5,3,2,1,-1,-1,1,0,0,-1,-1,0,1,76,1,3,0,-1,36,0,-1,0,0,35,1,23000,0,0,51.0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,18.0,0,1,2,2,0,0,1,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78006.0
EC10861,0,8,30,7,2022,1,6,900,0,1,0,2,40,3.1,2,0,6,1,1,1,5,1,4,2,-1,-1,7,1,0,-1,-1,0,3,29,2,2,8,0,28,0,-1,0,0,25,1,3300,1,0,,0,2,2,0,8,0,0,1,0,0,0,0,0,3,0,0,57.0,1,1,4,0,0,0,2,1,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40003.1
EC67933,0,8,-1,22,2022,7,6,1000,0,0,0,1,39,0.49,0,0,5,1,0,3,6,4,3,0,6,-1,0,0,0,-1,-1,0,0,-1,-1,1,0,-1,16,8,1,4,0,0,1,0,0,0,,0,2,2,0,8,0,1,1,0,0,0,0,0,3,0,2,,2,0,2,0,0,0,2,6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000.49
EC25243,0,17,8,26,2022,2,7,400,0,1,0,1,4,25.3,1,0,6,1,1,3,6,4,3,3,22,-1,0,0,1,-1,-1,1,5,8,0,5,48,3,57,9,1,6,3,60,1,123000,1,0,24.0,1,0,0,2,11,12,0,1,0,0,0,0,0,5,0,2,,2,0,2,0,0,0,2,6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4025.3
EC45209,0,0,2,30,2022,4,7,1100,0,3,0,3,4,12.63,1,0,4,1,0,0,4,3,0,2,-1,-1,0,0,0,-1,-1,0,5,2,0,7,45,3,84,10,2,6,3,60,0,169000,1,0,69.0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,68.0,1,1,2,0,0,0,1,4,0,0,0,0,0,1,1,1,22.0,2,1,0,0,0,0,0,2,1,0,0,0,0,1,1,4012.63
EC36714,0,22,-1,2,2022,4,7,100,1,2,0,2,60,7.86,5,1,7,2,0,1,3,3,2,5,-1,-1,4,1,1,-1,-1,0,7,-1,4,2,0,-1,24,8,-1,0,0,50,1,21000,0,1,72.0,1,2,0,0,6,0,1,3,0,0,0,0,0,4,1,1,80.0,1,1,2,2,0,0,2,5,0,0,0,0,0,2,3,1,64.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60007.86
EC24871,0,24,-1,23,2022,2,4,1400,0,0,0,2,105,0.16,3,1,4,2,3,4,3,3,0,1,-1,-1,1,0,0,-1,-1,0,7,-1,1,2,0,-1,24,7,-1,0,0,40,3,6000,0,0,79.0,1,0,0,2,0,0,0,3,0,0,0,0,0,6,0,0,57.0,1,1,2,2,0,0,1,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000.16
EC09468,0,17,36,4,2022,1,3,600,0,1,0,3,47,2.24,0,0,1,10,1,0,5,3,2,2,-1,-1,0,1,3,-1,-1,0,5,36,0,4,10,1,48,10,-1,0,0,60,1,39000,1,0,54.0,2,2,0,3,14,0,0,18,0,0,0,0,0,0,0,1,27.0,0,3,2,0,0,0,1,5,0,0,0,0,0,1,1,1,35.0,2,3,0,0,0,0,0,6,1,0,0,0,0,4,1,47002.24
EC33454,0,0,-1,2,2022,3,4,1300,0,0,0,2,13,12.69,4,1,0,1,0,2,0,3,0,1,-1,-1,7,1,0,-1,-1,0,6,-1,4,4,0,-1,48,0,-1,0,0,50,1,13000,0,0,63.0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,33.0,1,1,2,0,0,0,1,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13012.69
EC19261,0,0,8,10,2022,2,5,800,0,0,0,2,4,24.74,1,0,6,1,1,0,7,2,2,1,-1,-1,0,0,0,-1,-1,0,5,8,0,4,16,1,48,12,-1,0,3,60,1,103000,1,0,25.0,2,0,0,2,10,2,0,1,10,0,0,0,0,0,0,0,42.0,0,1,2,2,0,0,1,3,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4024.74
EC25583,0,0,0,27,2022,2,1,2100,0,0,0,1,12,2.19,0,0,5,1,0,3,6,4,3,1,50,-1,0,1,1,1,0,0,5,0,0,4,20,-1,64,0,3,0,0,50,0,46000,1,0,42.0,1,0,0,0,3,0,0,1,0,0,0,0,0,5,0,2,,2,0,2,0,0,0,2,6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12002.19
EC29710,0,0,7,15,2022,3,3,1400,0,0,0,2,65,0.17,2,0,5,2,2,1,7,3,2,1,-1,-1,1,0,0,-1,-1,0,1,7,3,4,0,-1,45,0,-1,0,2,35,1,26000,0,0,18.0,1,0,0,2,0,0,0,3,0,0,0,0,0,3,0,0,18.0,0,1,2,2,0,0,2,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000.17
EC11128,0,28,-1,9,2022,1,1,700,0,0,0,1,57,50.81,4,1,5,1,1,12,6,4,3,1,-1,-1,0,3,2,-1,-1,0,7,-1,2,2,0,-1,24,4,-1,0,0,50,3,5500,0,0,16.0,1,0,0,2,3,0,1,1,0,0,0,0,0,0,0,2,,2,0,2,0,0,0,2,6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57050.81
EC21716,0,17,8,19,2022,2,7,1800,0,0,0,2,35,0.2,0,0,7,1,1,0,8,2,2,1,-1,-1,6,1,1,-1,-1,0,1,8,0,6,0,-1,72,0,-1,0,1,45,1,51000,0,0,21.0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,43.0,1,1,2,0,0,0,1,3,0,0,0,0,0,0,0,1,58.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000.2
EC64171,0,8,-1,13,2022,7,4,1700,0,0,0,2,11,3.65,0,0,0,1,3,0,0,2,4,1,-1,-1,1,0,0,-1,-1,0,1,-1,1,4,0,-1,53,8,-1,0,0,50,1,27000,0,0,,1,2,2,0,2,0,0,1,0,0,0,0,0,3,0,0,42.0,1,1,2,0,0,0,2,2,0,0,0,0,0,1,1,2,10.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11003.65
EC37019,0,0,35,9,2022,4,7,1800,0,1,0,2,30,27.22,0,0,6,1,2,0,7,2,1,2,-1,-1,1,0,0,-1,-1,1,1,-1,3,4,0,-1,48,8,-1,0,0,40,1,3000,0,0,68.0,2,0,0,0,11,2,1,1,0,0,0,0,0,0,0,0,43.0,0,1,2,0,0,0,2,2,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30027.22
EC15425,0,0,-1,15,2022,1,7,1400,0,1,0,3,13,12.84,4,1,6,1,1,2,0,3,0,2,-1,-1,0,0,0,-1,-1,0,7,-1,4,2,0,-1,22,4,-1,0,0,50,1,13000,0,0,66.0,1,0,0,0,4,0,1,1,0,0,0,0,0,5,0,0,36.0,0,1,2,0,0,0,2,5,0,0,0,0,0,5,1,1,59.0,2,1,0,0,0,0,1,6,1,0,0,0,0,1,1,13012.84
EC31048,0,34,-1,19,2022,3,7,2300,0,0,0,1,151,0.5,3,1,0,1,0,6,6,4,3,1,1,-1,0,1,2,-1,-1,0,7,-1,2,2,0,-1,22,1,-1,0,0,50,1,770,0,0,17.0,1,0,0,0,6,0,1,1,0,0,0,0,0,0,0,2,,2,0,2,0,0,0,2,6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151000.5
EC37300,0,0,2,11,2022,4,2,600,0,0,0,3,4,9.47,1,0,0,1,0,0,0,3,0,1,-1,-1,2,0,0,-1,0,0,5,2,0,4,32,1,48,8,1,4,3,60,1,138000,1,0,27.0,1,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,25.0,0,1,2,0,0,0,1,4,0,0,0,0,0,1,1,2,17.0,2,4,0,0,0,0,3,6,1,0,0,1,1,0,0,4009.47
EC22487,0,15,22,22,2022,2,3,1000,0,1,0,2,54,92.93,0,0,6,3,1,4,1,3,1,3,-1,-1,1,3,0,-1,-1,0,5,22,0,4,40,2,48,10,1,4,0,55,0,21000,1,0,18.0,1,2,0,2,3,0,1,7,0,0,0,0,0,0,0,1,19.0,0,3,2,0,0,0,2,4,0,0,0,0,0,0,0,1,53.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,54092.93
EC19692,0,17,-1,26,2022,1,4,1900,0,0,0,2,78,7.53,2,0,4,6,1,4,4,3,2,1,-1,-1,0,0,2,-1,-1,0,3,-1,1,2,0,-1,22,8,-1,0,0,35,1,21000,0,0,33.0,1,0,0,2,5,0,0,12,0,0,0,0,0,6,0,0,39.0,0,1,2,2,0,0,2,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78007.53
EC34289,0,0,0,28,2022,3,2,700,0,0,0,1,6,0.79,1,0,4,1,0,13,6,4,3,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,1,0,-1,20,6,2,6,0,0,0,0,0,0,29.0,1,0,0,0,10,0,0,1,2,0,0,0,0,0,0,2,,2,0,2,0,0,0,2,6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000.79
